"claim_id","accident_date","transaction_date","payment_amount"
1403,2016-02-25,"01/01/2017",10842.38
945,2016-06-19,"01/01/2018",965.37
1556,2017-09-04,"01/01/2018",1259.55
3717,2018-09-14,"01/01/2019",4028.81
3823,2018-02-17,"01/01/2019",6696.38
3757,2018-04-02,"01/01/2020",0
5724,2019-07-04,"01/01/2021",98.4
6697,2020-06-16,"01/01/2021",1926.6
7665,2020-11-18,"01/01/2021",1228.7
8585,2021-07-13,"01/01/2022",881.93
8946,2021-08-17,"01/01/2022",7004.05
9329,2021-06-24,"01/01/2022",5546.81
11095,2022-04-06,"01/01/2023",334.35
10404,2022-12-27,"01/01/2024",4801.92
13301,2023-10-26,"01/01/2024",895.26
13848,2023-11-19,"01/01/2024",29469.4
14508,2024-10-10,"01/01/2025",3551.09
14618,2024-09-09,"01/01/2025",7295.02
16180,2024-06-05,"01/01/2025",772.88
16360,2024-04-12,"01/01/2025",640.64
16360,2024-04-12,"01/01/2025",269.32
405,2016-12-04,"01/02/2017",378.82
2518,2017-12-01,"01/02/2018",1600.89
6103,2019-05-06,"01/02/2020",2215.26
12734,2023-12-19,"01/02/2024",13649.25
13053,2023-09-30,"01/02/2024",2034.58
13354,2023-12-19,"01/02/2024",-608.1
14314,2023-08-04,"01/02/2024",89947.95
14745,2024-05-23,"01/02/2025",503.89
14801,2024-11-05,"01/02/2025",37655.98
15729,2024-10-31,"01/02/2025",114.58
15883,2024-10-12,"01/02/2025",845.48
16188,2024-10-17,"01/02/2025",378.88
16356,2024-04-11,"01/02/2025",7341.56
241,2016-09-23,"01/03/2017",316.45
406,2016-09-22,"01/03/2017",18604.91
1520,2016-03-03,"01/03/2017",1617.89
1995,2017-01-14,"01/03/2017",0
2083,2017-09-22,"01/03/2018",2542.58
2532,2017-12-03,"01/03/2018",608.27
3393,2018-12-04,"01/03/2019",835.71
3516,2018-02-02,"01/03/2019",302.29
3554,2018-10-27,"01/03/2019",3215.02
5722,2019-10-14,"01/03/2020",5460.11
6941,2020-02-01,"01/03/2020",92943.15
5277,2019-10-06,"01/03/2021",704.74
6967,2020-12-19,"01/03/2021",25.14
7526,2020-11-04,"01/03/2021",3626.39
9857,2021-10-22,"01/03/2023",6349.31
11187,2022-12-12,"01/03/2023",81258.8
11911,2022-06-13,"01/03/2023",2249.47
11239,2022-05-29,"01/03/2024",1652.36
12916,2023-12-29,"01/03/2024",52234.98
13145,2023-01-04,"01/03/2024",3116.21
13362,2023-07-16,"01/03/2025",2211.24
14787,2024-04-03,"01/03/2025",2088.58
15061,2024-06-29,"01/03/2025",3724.32
16837,2025-01-02,"01/03/2025",3866.19
17153,2025-01-15,"01/03/2025",4566.7
328,2016-11-12,"01/04/2017",804.35
1196,2016-11-09,"01/04/2017",2402.72
1685,2017-07-09,"01/04/2018",17771.65
2101,2017-11-10,"01/04/2018",-447.35
4090,2018-03-02,"01/04/2018",12356.3
4713,2018-03-24,"01/04/2018",703.58
3448,2018-09-11,"01/04/2019",6735.7
4898,2019-02-12,"01/04/2019",2034.65
5297,2019-08-03,"01/04/2020",9253.32
5925,2019-09-07,"01/04/2021",20430.89
6617,2020-09-15,"01/04/2021",176.1
6945,2020-09-11,"01/04/2021",1573.32
9440,2021-03-06,"01/04/2021",357.7
9710,2021-03-30,"01/04/2022",0
10954,2022-02-18,"01/04/2022",1538.66
11500,2022-02-26,"01/04/2022",1468.58
12121,2022-12-28,"01/04/2023",41050.37
11096,2022-12-16,"01/04/2024",460.74
12576,2023-08-10,"01/04/2024",760.06
16282,2024-02-06,"01/04/2024",482.43
11072,2022-09-09,"01/04/2025",436
14580,2024-04-14,"01/04/2025",2940.13
14900,2024-06-27,"01/04/2025",6407.78
